Rank,Player,Country,Hit,Single,Outside,Other,Pcnt,Double,Year
4,John Henderson,SCO,21,3,12,0,58.33%,18,2017
5,Gary Anderson,SCO,39,15,18,0,54.17%,18,2017
6,Joe Cullen,ENG,54,27,21,0,52.94%,18,2017
7,Ian White,ENG,27,15,9,0,52.94%,18,2017
8,Michael van Gerwen,NED,108,51,54,0,50.7%,18,2017
9,Jamie Bain,SCO,12,3,9,0,50%,18,2017
10,Peter Wright,SCO,75,30,45,0,50%,18,2017
11,Kim Viljanen,FIN,15,3,9,3,50%,18,2017
12,Benito van de Pas,NED,21,9,12,3,46.67%,18,2017
13,Rob Cross,ENG,120,57,81,0,46.51%,18,2017
14,Jan Dekker,NED,15,9,6,3,45.45%,18,2017
15,Nathan Aspinall,ENG,21,15,12,0,43.75%,18,2017
16,Stephen Bunting,ENG,18,12,12,0,42.86%,18,2017
17,Keegan Brown,ENG,18,6,18,0,42.86%,18,2017
18,Richard North,ENG,9,0,12,0,42.86%,18,2017
19,Justin Pipe,ENG,24,12,21,0,42.11%,18,2017
20,Vincent van der Voort,NED,15,9,12,0,41.67%,18,2017
21,James Wilson,ENG,15,12,6,3,41.67%,18,2017
22,Kyle Anderson,AUS,21,15,15,0,41.18%,18,2017
23,Dave Chisnall,ENG,42,24,36,0,41.18%,18,2017
24,Darren Webster,ENG,18,6,21,0,40%,18,2017
25,Dimitri Van den Bergh,BEL,36,24,33,0,38.71%,18,2017
26,Robert Owen,WAL,15,12,12,0,38.46%,18,2017
27,Mensur Suljović,AUT,51,54,30,0,37.78%,18,2017
28,Steve Beaton,ENG,9,6,9,0,37.5%,18,2017
29,Michael Smith,ENG,24,24,24,0,33.33%,18,2017
30,Jelle Klaasen,NED,9,12,6,0,33.33%,18,2017
31,Daryl Gurney,NIR,39,27,48,9,31.71%,18,2017
32,Cristo Reyes,ESP,18,24,15,0,31.58%,18,2017
33,Jonny Clayton,WAL,9,9,12,0,30%,18,2017
34,Peter Jacques,ENG,6,6,9,0,28.57%,18,2017
35,Raymond van Barneveld,NED,30,30,42,3,28.57%,18,2017
36,Phil Taylor,ENG,12,15,15,0,28.57%,18,2017
37,Simon Whitlock,AUS,30,36,42,0,27.78%,18,2017
38,Christian Kist,NED,6,15,3,0,25%,18,2017
39,Kim Huybrechts,BEL,9,18,9,0,25%,18,2017
40,James Wade,ENG,9,12,24,0,20%,18,2017
41,Jermaine Wattimena,NED,6,9,9,6,20%,18,2017
42,Robbie Green,ENG,6,12,18,0,16.67%,18,2017
43,Glen Durrant,ENG,3,6,12,0,14.29%,18,2017
44,Berry van Peer,NED,3,9,18,0,10%,18,2017
1,Peter Wright,SCO,12,9,9,0,40%,19,2017
2,Peter Jacques,ENG,9,6,12,0,33.33%,19,2017
3,Simon Whitlock,AUS,6,9,6,0,28.57%,19,2017
4,Rob Cross,ENG,3,6,12,0,14.29%,19,2017
5,Darren Webster,ENG,3,9,12,3,11.11%,19,2017
1,Simon Stevenson,ENG,21,3,9,0,63.64%,20,2017
2,Robert Owen,WAL,18,3,9,0,60%,20,2017
3,Dennis Nilsson,SWE,21,6,12,0,53.85%,20,2017
4,René Eidams,GER,24,9,12,0,53.33%,20,2017
5,Phil Taylor,ENG,168,72,87,0,51.38%,20,2017
6,Peter Hudson,ENG,18,15,3,0,50%,20,2017
7,Michael van Gerwen,NED,300,186,132,0,48.54%,20,2017
8,Richard North,ENG,54,27,30,3,47.37%,20,2017
9,Kim Viljanen,FIN,21,9,15,0,46.67%,20,2017
10,Dimitri Van den Bergh,BEL,60,33,33,3,46.51%,20,2017
11,William O'Connor,IRL,30,21,15,0,45.45%,20,2017
12,Vincent van der Voort,NED,99,36,84,0,45.21%,20,2017
13,Michael Smith,ENG,204,135,117,0,44.74%,20,2017
14,Ian White,ENG,99,69,57,0,44%,20,2017
15,Kyle Anderson,AUS,129,60,102,3,43.88%,20,2017
16,Robbie Green,ENG,21,12,15,0,43.75%,20,2017
17,Rob Cross,ENG,120,84,69,3,43.48%,20,2017
18,John Henderson,SCO,165,93,120,3,43.31%,20,2017
19,Bernie Smith,NZL,18,15,9,0,42.86%,20,2017
20,Jan Dekker,NED,27,27,9,0,42.86%,20,2017
21,James Wade,ENG,96,78,48,3,42.67%,20,2017
22,Gary Anderson,SCO,183,165,81,3,42.36%,20,2017
23,Kevin Münch,GER,33,15,27,3,42.31%,20,2017
24,Darren Webster,ENG,207,111,174,0,42.07%,20,2017
25,Kim Huybrechts,BEL,54,48,27,0,41.86%,20,2017
26,Glen Durrant,ENG,21,15,15,0,41.18%,20,2017
27,Robert Thornton,SCO,90,66,63,0,41.1%,20,2017
28,Raymond van Barneveld,NED,90,75,57,0,40.54%,20,2017
29,Christian Kist,NED,48,42,30,0,40%,20,2017
30,Nathan Aspinall,ENG,42,30,27,6,40%,20,2017
31,Cameron Menzies,SCO,12,6,12,0,40%,20,2017
32,Jelle Klaasen,NED,108,117,39,9,39.56%,20,2017
33,Alan Norris,ENG,174,144,120,6,39.19%,20,2017
34,Jamie Lewis,WAL,42,24,42,0,38.89%,20,2017
35,Steve West,ENG,99,81,69,6,38.82%,20,2017
36,Jeffrey de Zwaan,NED,36,18,39,0,38.71%,20,2017
37,Adrian Lewis,ENG,99,72,84,3,38.37%,20,2017
38,Steve Lennon,IRL,39,33,30,0,38.24%,20,2017
39,Jamie Bain,SCO,18,21,9,0,37.5%,20,2017
40,Keegan Brown,ENG,36,27,30,3,37.5%,20,2017
41,Rusty-Jake Rodriguez,AUT,9,6,9,0,37.5%,20,2017
42,Corey Cadby,AUS,18,12,18,0,37.5%,20,2017
43,Dave Chisnall,ENG,129,108,105,3,37.39%,20,2017
44,Daryl Gurney,NIR,180,123,174,6,37.27%,20,2017
45,Justin Pipe,ENG,39,30,36,0,37.14%,20,2017
46,Jamie Caven,ENG,21,15,18,3,36.84%,20,2017
47,Cristo Reyes,ESP,45,48,30,0,36.59%,20,2017
48,Stephen Bunting,ENG,57,57,42,0,36.54%,20,2017
49,Mark McGeeney,ENG,12,3,18,0,36.36%,20,2017
50,Vincent van der Meer,NED,12,6,12,3,36.36%,20,2017
51,Dirk van Duijvenbode,NED,12,12,9,0,36.36%,20,2017
52,Paul Lim,SNG,27,21,27,0,36%,20,2017
53,Mensur Suljović,AUT,180,204,114,3,35.93%,20,2017
54,Krzysztof Ratajski,POL,42,27,42,6,35.9%,20,2017
55,Simon Whitlock,AUS,168,150,150,3,35.67%,20,2017
56,Joe Cullen,ENG,60,63,48,0,35.09%,20,2017
57,Gerwyn Price,WAL,177,168,159,6,34.71%,20,2017
58,Peter Wright,SCO,261,228,264,3,34.52%,20,2017
59,Steve Beaton,ENG,63,54,66,3,33.87%,20,2017
60,Zoran Lerchbacher,AUT,30,24,33,3,33.33%,20,2017
61,Mark Walsh,ENG,15,18,12,0,33.33%,20,2017
62,Danny Noppert,NED,9,12,6,0,33.33%,20,2017
63,Jerry Hendriks,NED,12,9,15,0,33.33%,20,2017
64,Peter Jacques,ENG,30,27,27,6,33.33%,20,2017
65,James Wilson,ENG,39,30,48,3,32.5%,20,2017
66,Jermaine Wattimena,NED,33,36,33,0,32.35%,20,2017
67,James Richardson,ENG,81,39,129,6,31.76%,20,2017
68,Jimmy Hendriks,NED,15,12,21,0,31.25%,20,2017
69,Ronny Huybrechts,BEL,39,39,45,3,30.95%,20,2017
70,Chris Dobey,ENG,39,27,51,9,30.95%,20,2017
71,Michael Plooy,NED,12,15,12,0,30.77%,20,2017
72,Martin Schindler,GER,57,66,60,3,30.65%,20,2017
73,Toni Alcinas,ESP,30,24,36,9,30.3%,20,2017
74,Devon Petersen,RSA,9,18,3,0,30%,20,2017
75,Max Hopp,GER,9,15,6,0,30%,20,2017
76,Jonny Clayton,WAL,60,48,93,0,29.85%,20,2017
77,Mervyn King,ENG,36,60,24,3,29.27%,20,2017
78,Mickey Mansell,NIR,12,12,18,0,28.57%,20,2017
79,Marko Kantele,FIN,6,6,6,3,28.57%,20,2017
80,Mick McGowan,,6,3,12,0,28.57%,20,2017
81,René Berndt,GER,6,6,9,0,28.57%,20,2017
82,Nico Blum,GER,6,6,9,0,28.57%,20,2017
83,Brendan Dolan,NIR,15,9,27,3,27.78%,20,2017
84,Benito van de Pas,NED,45,60,60,0,27.27%,20,2017
85,Mark Webster,WAL,36,69,39,0,25%,20,2017
86,Ron Meulenkamp,NED,33,45,54,0,25%,20,2017
87,Cody Harris,NZL,9,9,21,0,23.08%,20,2017
88,Kenny Neyens,BEL,6,6,15,0,22.22%,20,2017
89,Willard Bruguier,,6,3,18,0,22.22%,20,2017
90,Andy Jenkins,ENG,6,9,12,0,22.22%,20,2017
91,Mike De Decker,BEL,6,12,9,0,22.22%,20,2017
92,Joe Murnan,ENG,6,12,9,0,22.22%,20,2017
93,John Michael,GRE,12,27,15,0,22.22%,20,2017
94,Josh Payne,ENG,6,15,9,0,20%,20,2017
95,Andy Boulton,SCO,9,12,30,0,17.65%,20,2017
96,Scott Mitchell,ENG,3,6,12,0,14.29%,20,2017
97,Chris Quantock,ENG,12,39,33,3,13.79%,20,2017
98,Rowby-John Rodriguez,AUT,3,15,15,0,9.09%,20,2017
1,Rob Cross,ENG,36,9,15,3,57.14%,1,2018
2,Peter Wright,SCO,15,6,9,0,50%,1,2018
3,Jermaine Wattimena,NED,12,3,9,0,50%,1,2018
4,Jonny Clayton,WAL,30,3,42,0,40%,1,2018
5,Gary Anderson,SCO,39,21,39,0,39.39%,1,2018
6,Michael van Gerwen,NED,30,12,33,3,38.46%,1,2018
7,Kyle Anderson,AUS,12,9,12,0,36.36%,1,2018
8,Steve West,ENG,9,6,12,0,33.33%,1,2018
9,Adrian Lewis,ENG,9,6,12,0,33.33%,1,2018
10,Max Hopp,GER,18,12,27,0,31.58%,1,2018
11,Ian White,ENG,12,9,18,0,30.77%,1,2018
12,Joe Cullen,ENG,9,12,9,0,30%,1,2018
13,Justin Pipe,ENG,6,3,12,0,28.57%,1,2018
14,Dave Chisnall,ENG,12,18,9,3,28.57%,1,2018
15,James Wilson,ENG,6,9,9,0,25%,1,2018
16,Steve Lennon,IRL,6,9,9,0,25%,1,2018
17,Gerwyn Price,WAL,9,9,21,0,23.08%,1,2018
18,Luke Humphries,ENG,6,0,27,0,18.18%,1,2018
19,Darius Labanauskas,LTH,6,9,21,0,16.67%,1,2018
20,Ricky Evans,ENG,3,12,6,0,14.29%,1,2018
21,Michael Smith,ENG,3,6,21,0,10%,1,2018
1,Stephen Bunting,ENG,24,6,6,3,61.54%,2,2018
2,Josh Payne,ENG,12,3,6,0,57.14%,2,2018
3,Ritchie Edhouse,ENG,12,3,6,0,57.14%,2,2018
4,Mensur Suljović,AUT,42,9,30,0,51.85%,2,2018
5,James Wade,ENG,27,3,24,3,47.37%,2,2018
6,Toni Alcinas,ESP,15,3,15,0,45.45%,2,2018
7,Darren Johnson,ENG,9,3,9,0,42.86%,2,2018
8,Simon Whitlock,AUS,24,12,21,0,42.11%,2,2018
9,Steve West,ENG,15,12,9,0,41.67%,2,2018
10,Jelle Klaasen,NED,21,6,24,0,41.18%,2,2018
11,Gerwyn Price,WAL,18,12,15,0,40%,2,2018
12,Peter Wright,SCO,33,18,39,0,36.67%,2,2018
13,Gary Anderson,SCO,60,51,54,0,36.36%,2,2018
14,Max Hopp,GER,39,36,33,0,36.11%,2,2018
15,James Wilson,ENG,18,15,18,0,35.29%,2,2018
16,Michael Smith,ENG,24,21,21,3,34.78%,2,2018
17,Ian White,ENG,24,12,30,3,34.78%,2,2018
18,Daryl Gurney,NIR,18,18,18,0,33.33%,2,2018
19,Steve Beaton,ENG,9,12,6,0,33.33%,2,2018
20,Raymond van Barneveld,NED,21,15,27,3,31.82%,2,2018
21,Jermaine Wattimena,NED,18,21,18,0,31.58%,2,2018
22,Mervyn King,ENG,15,9,24,0,31.25%,2,2018
23,Luke Humphries,ENG,9,12,9,0,30%,2,2018
24,Richard North,ENG,6,6,9,0,28.57%,2,2018
25,Michael van Gerwen,NED,51,63,66,0,28.33%,2,2018
26,Darren Webster,ENG,9,9,15,0,27.27%,2,2018
27,Rob Cross,ENG,24,39,27,0,26.67%,2,2018
28,Danny Noppert,NED,9,9,18,0,25%,2,2018
29,Dimitri Van den Bergh,BEL,6,3,12,3,25%,2,2018
30,Adrian Lewis,ENG,12,15,24,0,23.53%,2,2018
31,Steve Lennon,IRL,9,21,6,3,23.08%,2,2018
32,Jonny Clayton,WAL,15,30,21,0,22.73%,2,2018
33,Ricky Evans,ENG,6,12,9,0,22.22%,2,2018
34,Keegan Brown,ENG,6,6,15,0,22.22%,2,2018
35,Kyle Anderson,AUS,15,21,36,0,20.83%,2,2018
36,Joe Cullen,ENG,21,27,57,0,20%,2,2018
37,Devon Petersen,RSA,6,9,15,0,20%,2,2018
38,Dave Chisnall,ENG,12,30,21,0,19.05%,2,2018
39,Jan Dekker,NED,6,12,15,0,18.18%,2,2018
40,Darius Labanauskas,LTH,6,15,12,0,18.18%,2,2018
1,Rob Cross,ENG,18,3,9,0,60%,3,2018
2,Gerwyn Price,WAL,15,12,0,0,55.56%,3,2018
3,Michael van Gerwen,NED,15,3,21,0,38.46%,3,2018
4,Jonny Clayton,WAL,9,3,12,0,37.5%,3,2018
5,Gary Anderson,SCO,15,3,24,0,35.71%,3,2018
6,Joe Cullen,ENG,9,3,15,0,33.33%,3,2018
7,Danny Noppert,NED,12,6,21,3,28.57%,3,2018
8,Ron Meulenkamp,NED,6,3,12,0,28.57%,3,2018
9,Peter Wright,SCO,9,6,33,0,18.75%,3,2018
10,Jeffrey de Zwaan,NED,0,12,12,0,0%,3,2018
1,Ryan Searle,ENG,27,3,9,0,69.23%,4,2018
2,Nathan Aspinall,ENG,12,6,3,0,57.14%,4,2018
3,Danny Noppert,NED,24,3,12,3,57.14%,4,2018
4,Adrian Lewis,ENG,51,21,24,0,53.13%,4,2018
5,Michael van Gerwen,NED,159,81,69,0,51.46%,4,2018
6,Brendan Dolan,NIR,42,12,27,3,50%,4,2018
7,Michael Smith,ENG,27,21,6,0,50%,4,2018
8,Kim Huybrechts,BEL,12,3,6,3,50%,4,2018
9,Jeffrey de Graaf,SWE,12,0,12,0,50%,4,2018
10,Luke Humphries,ENG,36,18,18,0,50%,4,2018
11,Jeffrey de Zwaan,NED,15,3,9,3,50%,4,2018
12,Simon Whitlock,AUS,102,39,66,0,49.28%,4,2018
13,Kyle Anderson,AUS,39,36,6,0,48.15%,4,2018
14,Joe Cullen,ENG,84,45,48,0,47.46%,4,2018
15,Ryan Joyce,ENG,24,9,18,0,47.06%,4,2018
16,Steve West,ENG,21,15,9,0,46.67%,4,2018
17,James Wilson,ENG,39,30,15,0,46.43%,4,2018
18,Darren Webster,ENG,45,9,48,0,44.12%,4,2018
19,Dimitri Van den Bergh,BEL,33,15,27,0,44%,4,2018
20,Toni Alcinas,ESP,24,18,15,0,42.11%,4,2018
21,Gerwyn Price,WAL,24,18,15,0,42.11%,4,2018
22,Mensur Suljović,AUT,39,30,27,0,40.63%,4,2018
23,William O'Connor,IRL,12,9,6,3,40%,4,2018
24,Jan Dekker,NED,12,15,3,0,40%,4,2018
25,Chris Dobey,ENG,18,9,18,0,40%,4,2018
26,Peter Wright,SCO,66,48,48,6,39.29%,4,2018
27,Raymond van Barneveld,NED,48,36,39,0,39.02%,4,2018
28,Daryl Gurney,NIR,78,42,78,3,38.81%,4,2018
29,Dave Chisnall,ENG,39,39,24,0,38.24%,4,2018
30,Steve Beaton,ENG,24,21,18,0,38.1%,4,2018
31,Gary Anderson,SCO,120,102,87,6,38.1%,4,2018
32,Richard North,ENG,18,9,21,0,37.5%,4,2018
33,James Wade,ENG,21,21,15,0,36.84%,4,2018
34,Cristo Reyes,ESP,12,15,6,0,36.36%,4,2018
35,Steve Lennon,IRL,24,15,27,0,36.36%,4,2018
36,Paul Nicholson,ENG,12,9,12,0,36.36%,4,2018
37,Jelle Klaasen,NED,21,21,15,3,35%,4,2018
38,Stephen Bunting,ENG,42,39,39,0,35%,4,2018
39,Keegan Brown,ENG,21,12,24,3,35%,4,2018
40,Rob Cross,ENG,72,66,69,3,34.29%,4,2018
41,Justin Pipe,ENG,9,12,6,0,33.33%,4,2018
42,Max Hopp,GER,45,42,42,6,33.33%,4,2018
43,Vincent van der Voort,NED,21,9,33,0,33.33%,4,2018
44,Jermaine Wattimena,NED,42,48,45,3,30.43%,4,2018
45,Jonny Clayton,WAL,39,48,42,0,30.23%,4,2018
46,Mervyn King,ENG,27,27,27,9,30%,4,2018
47,Krzysztof Ratajski,POL,15,12,24,0,29.41%,4,2018
48,Alan Norris,ENG,6,6,9,0,28.57%,4,2018
49,Jeff Smith,CAN,6,3,6,6,28.57%,4,2018
50,Josh Payne,ENG,12,12,18,0,28.57%,4,2018
51,Ian White,ENG,27,39,33,0,27.27%,4,2018
52,John Henderson,SCO,9,12,12,0,27.27%,4,2018
53,Ricky Evans,ENG,12,24,9,0,26.67%,4,2018
54,Ron Meulenkamp,NED,6,6,12,0,25%,4,2018
55,Darius Labanauskas,LTH,18,18,36,0,25%,4,2018
56,Mickey Mansell,NIR,6,6,15,0,22.22%,4,2018
57,Maik Langendorf,GER,6,3,18,3,20%,4,2018
58,Gabriel Clemens,GER,6,12,9,3,20%,4,2018
59,Robert Thornton,SCO,6,9,27,0,14.29%,4,2018
1,William O'Connor,IRL,15,6,3,0,62.5%,5,2018
2,Michael van Gerwen,NED,69,42,24,0,51.11%,5,2018
3,Alan Norris,ENG,18,9,9,0,50%,5,2018
4,Gary Anderson,SCO,96,39,78,0,45.07%,5,2018
5,Raymond van Barneveld,NED,12,12,0,3,44.44%,5,2018
6,Vincent van der Voort,NED,9,3,9,0,42.86%,5,2018
7,Simon Whitlock,AUS,42,18,39,0,42.42%,5,2018
8,Rob Cross,ENG,57,27,51,0,42.22%,5,2018
9,James Wade,ENG,78,36,75,0,41.27%,5,2018
10,Brendan Dolan,NIR,12,0,18,0,40%,5,2018
11,Darius Labanauskas,LTH,12,3,15,0,40%,5,2018
12,Richard North,ENG,15,12,12,0,38.46%,5,2018
13,Mickey Mansell,NIR,9,0,15,0,37.5%,5,2018
14,Ricky Evans,ENG,9,6,9,0,37.5%,5,2018
15,Jonny Clayton,WAL,21,12,24,0,36.84%,5,2018
16,Ian White,ENG,15,18,9,0,35.71%,5,2018
17,Daryl Gurney,NIR,30,15,39,0,35.71%,5,2018
18,Gerwyn Price,WAL,69,48,75,3,35.38%,5,2018
19,Martin Schindler,GER,27,21,33,0,33.33%,5,2018
20,Nathan Aspinall,ENG,15,9,21,0,33.33%,5,2018
21,Alan Tabern,ENG,12,6,18,0,33.33%,5,2018
22,Michael Smith,ENG,90,51,135,0,32.61%,5,2018
23,Steve Lennon,IRL,24,21,27,3,32%,5,2018
24,Peter Wright,SCO,48,54,51,0,31.37%,5,2018
25,Jermaine Wattimena,NED,15,9,24,0,31.25%,5,2018
26,Cristo Reyes,ESP,12,6,21,0,30.77%,5,2018
27,Toni Alcinas,ESP,12,12,15,0,30.77%,5,2018
28,Jeffrey de Zwaan,NED,12,6,21,0,30.77%,5,2018
29,Steve West,ENG,39,27,63,0,30.23%,5,2018
30,Josh Payne,ENG,9,6,15,0,30%,5,2018
31,Adrian Lewis,ENG,9,15,6,0,30%,5,2018
32,Darren Webster,ENG,24,15,39,3,29.63%,5,2018
33,Kyle Anderson,AUS,12,12,18,0,28.57%,5,2018
34,Stephen Bunting,ENG,9,9,15,0,27.27%,5,2018
35,Luke Humphries,ENG,9,18,6,0,27.27%,5,2018
36,Dave Chisnall,ENG,12,18,15,0,26.67%,5,2018
37,James Richardson,ENG,6,3,15,0,25%,5,2018
38,Joe Cullen,ENG,6,9,9,0,25%,5,2018
39,Steve Beaton,ENG,15,12,33,0,25%,5,2018
40,Wayne Jones,ENG,6,9,9,0,25%,5,2018
41,Danny Noppert,NED,24,27,45,0,25%,5,2018
42,Mervyn King,ENG,6,3,15,0,25%,5,2018
43,Dimitri Van den Bergh,BEL,6,6,12,0,25%,5,2018
44,John Part,CAN,6,3,15,0,25%,5,2018
45,Ryan Searle,ENG,6,9,9,0,25%,5,2018
46,Max Hopp,GER,9,9,21,0,23.08%,5,2018
47,John Henderson,SCO,9,3,24,3,23.08%,5,2018
48,Jelle Klaasen,NED,12,27,15,0,22.22%,5,2018
49,Ron Meulenkamp,NED,9,12,18,3,21.43%,5,2018
50,Mensur Suljović,AUT,15,27,27,3,20.83%,5,2018
51,Chris Dobey,ENG,6,12,12,3,18.18%,5,2018
52,Ritchie Edhouse,ENG,3,9,9,0,14.29%,5,2018
53,Jamie Lewis,WAL,6,12,27,0,13.33%,5,2018
54,Krzysztof Ratajski,POL,0,15,36,0,0%,5,2018
1,Ian White,ENG,24,9,3,0,66.67%,6,2018
2,Rob Cross,ENG,57,24,18,0,57.58%,6,2018
3,Ricky Evans,ENG,15,3,9,0,55.56%,6,2018
4,Mervyn King,ENG,24,12,9,0,53.33%,6,2018
5,Daryl Gurney,NIR,60,12,48,0,50%,6,2018
6,Stephen Bunting,ENG,15,6,9,0,50%,6,2018
7,Gary Anderson,SCO,57,33,27,0,48.72%,6,2018
8,Raymond van Barneveld,NED,24,12,12,3,47.06%,6,2018
9,Michael Smith,ENG,39,15,30,0,46.43%,6,2018
10,Peter Wright,SCO,45,24,30,0,45.45%,6,2018
11,Kyle Anderson,AUS,12,9,6,0,44.44%,6,2018
12,Mensur Suljović,AUT,30,15,21,3,43.48%,6,2018
13,Michael van Gerwen,NED,66,21,66,0,43.14%,6,2018
14,Gerwyn Price,WAL,45,36,21,3,42.86%,6,2018
15,Max Hopp,GER,27,9,24,6,40.91%,6,2018
16,Steve West,ENG,27,12,30,0,39.13%,6,2018
17,Danny Noppert,NED,33,27,27,0,37.93%,6,2018
18,Joe Cullen,ENG,24,15,30,0,34.78%,6,2018
19,Alan Tabern,ENG,9,12,6,0,33.33%,6,2018
20,James Wade,ENG,21,12,30,0,33.33%,6,2018
21,Adrian Lewis,ENG,15,6,24,0,33.33%,6,2018
22,Keegan Brown,ENG,9,0,15,3,33.33%,6,2018
23,Simon Whitlock,AUS,36,24,48,3,32.43%,6,2018
24,Cristo Reyes,ESP,6,9,6,0,28.57%,6,2018
25,Cody Harris,NZL,6,0,15,0,28.57%,6,2018
26,Jeffrey de Zwaan,NED,6,9,6,0,28.57%,6,2018
27,Robert Thornton,SCO,6,3,15,0,25%,6,2018
28,Steve Lennon,IRL,6,12,18,0,16.67%,6,2018
29,Ron Meulenkamp,NED,3,9,12,3,11.11%,6,2018
30,Jermaine Wattimena,NED,3,15,12,0,10%,6,2018
31,Jonny Clayton,WAL,3,12,54,0,4.35%,6,2018
32,René Eidams,GER,0,6,18,0,0%,6,2018
1,Adrian Lewis,ENG,21,6,9,0,58.33%,7,2018
2,Simon Whitlock,AUS,15,6,6,0,55.56%,7,2018
3,James Wade,ENG,18,0,15,0,54.55%,7,2018
4,Michael Smith,ENG,12,3,9,0,50%,7,2018
5,Daryl Gurney,NIR,9,9,3,0,42.86%,7,2018
6,Rob Cross,ENG,30,9,33,0,41.67%,7,2018
7,Gary Anderson,SCO,27,15,27,0,39.13%,7,2018
8,Michael van Gerwen,NED,24,9,30,0,38.1%,7,2018
9,Mensur Suljović,AUT,36,15,57,0,33.33%,7,2018
10,Dimitri Van den Bergh,BEL,6,0,15,0,28.57%,7,2018
11,Gerwyn Price,WAL,6,9,6,0,28.57%,7,2018
12,Joe Cullen,ENG,6,9,9,0,25%,7,2018
1,James Wade,ENG,42,3,15,0,70%,8,2018
2,Alan Norris,ENG,21,3,6,0,70%,8,2018
3,Cody Harris,NZL,15,0,9,0,62.5%,8,2018
4,Devon Petersen,RSA,27,9,9,0,60%,8,2018
5,Andy Boulton,SCO,21,0,15,0,58.33%,8,2018
6,Kirk Shepherd,ENG,21,3,12,0,58.33%,8,2018
7,Jeffrey de Zwaan,NED,57,3,39,0,57.58%,8,2018
8,Chris Dobey,ENG,60,6,36,3,57.14%,8,2018
9,Kevin Burness,NIR,12,3,6,0,57.14%,8,2018
10,Maik Langendorf,GER,12,6,3,0,57.14%,8,2018
11,Jim Long,CAN,12,9,0,0,57.14%,8,2018
12,Jelle Klaasen,NED,18,6,9,0,54.55%,8,2018
13,Paul Nicholson,ENG,48,21,21,0,53.33%,8,2018
14,Jamie Lewis,WAL,42,9,30,0,51.85%,8,2018
15,Rob Cross,ENG,225,93,111,6,51.72%,8,2018
16,Rowby-John Rodriguez,AUT,15,6,9,0,50%,8,2018
17,Wayne Jones,ENG,33,15,18,0,50%,8,2018
18,Corey Cadby,AUS,24,12,12,0,50%,8,2018
19,Ricky Evans,ENG,42,30,15,0,48.28%,8,2018
20,Max Hopp,GER,135,66,72,9,47.87%,8,2018
21,Kim Huybrechts,BEL,57,12,51,0,47.5%,8,2018
22,Ryan Joyce,ENG,60,21,42,6,46.51%,8,2018
23,Michael van Gerwen,NED,330,156,225,0,46.41%,8,2018
24,Daryl Gurney,NIR,213,87,159,0,46.41%,8,2018
25,Krzysztof Ratajski,POL,57,27,36,3,46.34%,8,2018
26,Raymond van Barneveld,NED,138,72,90,6,45.1%,8,2018
27,Ian White,ENG,75,48,39,6,44.64%,8,2018
28,Peter Wright,SCO,216,114,156,0,44.44%,8,2018
29,Adrian Lewis,ENG,69,39,48,0,44.23%,8,2018
30,Dave Chisnall,ENG,57,36,36,0,44.19%,8,2018
31,Simon Whitlock,AUS,147,108,72,9,43.75%,8,2018
32,Mensur Suljović,AUT,135,39,138,3,42.86%,8,2018
33,Damon Heta,AUS,9,0,12,0,42.86%,8,2018
34,Madars Razma,LTV,9,6,6,0,42.86%,8,2018
35,Robert Marijanović,GER,9,6,6,0,42.86%,8,2018
36,James Wilson,ENG,48,36,30,0,42.11%,8,2018
37,Nathan Aspinall,ENG,48,9,54,3,42.11%,8,2018
38,Gary Anderson,SCO,126,84,90,0,42%,8,2018
39,Martin Schindler,GER,39,18,30,6,41.94%,8,2018
40,Michael Smith,ENG,45,30,33,0,41.67%,8,2018
41,Michael Barnard,ENG,15,9,12,0,41.67%,8,2018
42,Richard North,ENG,15,12,9,0,41.67%,8,2018
43,Luke Humphries,ENG,51,39,30,3,41.46%,8,2018
44,Ryan Searle,ENG,36,18,33,0,41.38%,8,2018
45,Stephen Bunting,ENG,75,33,75,0,40.98%,8,2018
46,Dimitri Van den Bergh,BEL,54,30,48,0,40.91%,8,2018
47,William O'Connor,IRL,33,27,18,3,40.74%,8,2018
48,Jan Dekker,NED,39,6,48,3,40.63%,8,2018
49,Cristo Reyes,ESP,51,27,48,0,40.48%,8,2018
50,Barrie Bates,WAL,12,0,15,3,40%,8,2018
51,Joe Cullen,ENG,102,72,87,0,39.08%,8,2018
52,Benito van de Pas,NED,21,6,24,3,38.89%,8,2018
53,Ted Evetts,ENG,15,3,21,0,38.46%,8,2018
54,Darren Webster,ENG,45,48,24,0,38.46%,8,2018
55,Keegan Brown,ENG,39,33,30,0,38.24%,8,2018
56,Brendan Dolan,NIR,54,57,30,3,37.5%,8,2018
57,Dirk van Duijvenbode,NED,9,9,6,0,37.5%,8,2018
58,Josh Payne,ENG,30,24,27,3,35.71%,8,2018
59,Toni Alcinas,ESP,27,21,27,3,34.62%,8,2018
60,Jonny Clayton,WAL,81,84,66,3,34.62%,8,2018
61,Kyle Anderson,AUS,48,45,48,0,34.04%,8,2018
62,Justin Pipe,ENG,18,12,24,0,33.33%,8,2018
63,Simon Stevenson,ENG,9,9,9,0,33.33%,8,2018
64,Steve West,ENG,18,24,12,0,33.33%,8,2018
65,Richie Burnett,WAL,9,3,15,0,33.33%,8,2018
66,Jeffrey de Graaf,SWE,15,12,18,0,33.33%,8,2018
67,John Norman Jr.,CAN,9,6,12,0,33.33%,8,2018
